id,name,category,subcategory,rarity,professions,region,short_summary,icon
31021,Brine-cured Warrant,Document,Letter,Common,None,Hollowroot,"Hollowroot letter document: common among dockhands, often a salt-proofing aid.",document_brine_cured_warrant.png
31022,Mossy Handaxe of the Wharf,Gear,Mail,Common,None,Frostbriar,"Frostbriar mail gear: traded at night markets, often a alchemy base.",gear_mossy_handaxe_of_the_wharf.png
31023,Worn Tally,Curio,Keepsake,Common,None,Greatwood,"Greatwood keepsake curio: rings softly when shaken, often a fishing bait.",curio_worn_tally.png
31024,Faded Poultice,Consumable,Potion,Common,Woodworking,Saltmarrow,"Saltmarrow potion consumable: used in field repairs, often a trap component.",consumable_faded_poultice.png
31025,Lanternlit Seed,Ingredient,Fruit,Rare,None,Greatwood,"Greatwood fruit ingredient: used in field repairs, often a buff ingredient.",ingredient_lanternlit_seed.png
31026,Roughspun Salt,Material,Salt,Common,Enchanting,Frostbriar,"Frostbriar salt material: stains fingers dark, often a salt-proofing aid.",material_roughspun_salt.png
31027,Mire-touched Figurine,Curio,Token,Rare,None,Frostbriar,"Frostbriar token curio: carried for long treks, often a fishing bait.",curio_mire_touched_figurine.png
31028,Mire-touched Resin,Material,Fiber,Common,Skinning,Emberford,"Emberford fiber material: favored by local scouts, often a trap component.",material_mire_touched_resin.png
31029,Mossy Bracers of the Wharf,Gear,Bow,Common,None,Emberford,"Emberford bow gear: a staple in cold camps, often a trap component.",gear_mossy_bracers_of_the_wharf.png
31030,Mire-touched Root,Ingredient,Fish,Common,Herbalism,Emberford,"Emberford fish ingredient: kept for superstition, often a buff ingredient.",ingredient_mire_touched_root.png
31031,Lanternlit Poultice,Consumable,Potion,Common,Mining,Hollowroot,"Hollowroot potion consumable: a staple in cold camps, often a crafting reagent.",consumable_lanternlit_poultice.png
31032,Frostbit Sprig,Ingredient,Root,Uncommon,Alchemy,Hollowroot,"Hollowroot root ingredient: favored by local scouts, often a buff ingredient.",ingredient_frostbit_sprig.png
31033,Frostbit Liniment,Consumable,Bandage,Uncommon,Woodworking,Emberford,"Emberford bandage consumable: recommended by old timers, often a camp utility.",consumable_frostbit_liniment.png
31034,Mire-touched Stew,Consumable,Oil,Common,Alchemy,Hollowroot,"Hollowroot oil consumable: kept for superstition, often a buff ingredient.",consumable_mire_touched_stew.png
31035,Silt-grit Staff of Frost,Gear,Cloth,Uncommon,Alchemy,Greatwood,"Greatwood cloth gear: used in field repairs, often a ritual prop.",gear_silt_grit_staff_of_frost.png
31036,Glowcap Needle,Ingredient,Root,Uncommon,Blacksmithing,Hollowroot,"Hollowroot root ingredient: kept for superstition, often a crafting reagent.",ingredient_glowcap_needle.png
31037,Silt-grit Stamen,Ingredient,Spice,Rare,Enchanting,Glimmerdeep,"Glimmerdeep spice ingredient: kept for superstition, often a camp utility.",ingredient_silt_grit_stamen.png
31038,Mossy Cord,Curio,Token,Common,None,Glimmerdeep,"Glimmerdeep token curio: traded at night markets, often a crafting reagent.",curio_mossy_cord.png
31039,Briarbound Dispatch,Document,Permit,Common,None,Frostbriar,"Frostbriar permit document: favored by local scouts, often a ritual prop.",document_briarbound_dispatch.png
31040,River-smooth Ration,Consumable,Food,Common,Skinning,Hollowroot,"Hollowroot food consumable: packed for storms, often a alchemy base.",consumable_river_smooth_ration.png
31041,Harbor-wet Wire,Material,Bone,Common,Skinning,Hollowroot,"Hollowroot bone material: a staple in cold camps, often a fishing bait.",material_harbor_wet_wire.png
31042,Lanternlit Root,Ingredient,Fruit,Rare,Enchanting,Glimmerdeep,"Glimmerdeep fruit ingredient: a staple in cold camps, often a salt-proofing aid.",ingredient_lanternlit_root.png
31043,Brine-cured Rivet,Material,Wood,Common,Fishing,Emberford,"Emberford wood material: sought by apprentices, often a alchemy base.",material_brine_cured_rivet.png
31044,Kelp-woven Biscuit,Consumable,Potion,Uncommon,Woodworking,Frostbriar,"Frostbriar potion consumable: favored by local scouts, often a buff ingredient.",consumable_kelp_woven_biscuit.png
31045,Tin-chimed Berry,Ingredient,Grain,Common,Enchanting,Hollowroot,"Hollowroot grain ingredient: smells faintly of cedar, often a ritual prop.",ingredient_tin_chimed_berry.png
31046,Brine-cured Thread,Material,Salt,Rare,Engineering,Hollowroot,"Hollowroot salt material: traded at night markets, often a camp utility.",material_brine_cured_thread.png
31047,Silt-grit Chew,Consumable,Bandage,Uncommon,Alchemy,Frostbriar,"Frostbriar bandage consumable: carried for long treks, often a ritual prop.",consumable_silt_grit_chew.png
31048,Worn Powder,Material,Glass,Uncommon,Cooking,Glimmerdeep,"Glimmerdeep glass material: recommended by old timers, often a fishing bait.",material_worn_powder.png
31049,Roughspun Chew,Consumable,Food,Uncommon,None,Glimmerdeep,"Glimmerdeep food consumable: rings softly when shaken, often a camp utility.",consumable_roughspun_chew.png
31050,Salt-stained Knot,Ingredient,Fruit,Rare,None,Frostbriar,"Frostbriar fruit ingredient: common among dockhands, often a alchemy base.",ingredient_salt_stained_knot.png
31051,Brine-cured Sash of Silt,Gear,Bow,Common,Woodworking,Glimmerdeep,"Glimmerdeep bow gear: common among dockhands, often a crafting reagent.",gear_brine_cured_sash_of_silt.png
31052,Glowcap Receipt,Document,Field Notes,Common,None,Glimmerdeep,"Glimmerdeep field notes document: common among dockhands, often a quest turn-in.",document_glowcap_receipt.png
31053,Briarbound Receipt,Document,Permit,Uncommon,None,Hollowroot,"Hollowroot permit document: stains fingers dark, often a ritual prop.",document_briarbound_receipt.png
31054,Kelp-woven Liniment,Consumable,Salve,Common,None,Glimmerdeep,"Glimmerdeep salve consumable: common among dockhands, often a vendor staple.",consumable_kelp_woven_liniment.png
31055,River-smooth Staff of the Trail,Gear,Ring,Common,Blacksmithing,Saltmarrow,"Saltmarrow ring gear: rings softly when shaken, often a map clue.",gear_river_smooth_staff_of_the_trail.png
31056,Sturdy Plank,Material,Cloth,Common,None,Hollowroot,"Hollowroot cloth material: recommended by old timers, often a camp utility.",material_sturdy_plank.png
31057,River-smooth Tally,Curio,Keepsake,Common,None,Saltmarrow,"Saltmarrow keepsake curio: used in field repairs, often a quest turn-in.",curio_river_smooth_tally.png
31058,Harbor-wet Boots,Gear,Staff,Rare,Fishing,Frostbriar,"Frostbriar staff gear: used in field repairs, often a armor patching.",gear_harbor_wet_boots.png
31059,Kelp-woven Buckler of Brine,Gear,Necklace,Common,Engineering,Saltmarrow,"Saltmarrow necklace gear: carried for long treks, often a map clue.",gear_kelp_woven_buckler_of_brine.png
31060,Mossy Berry,Ingredient,Herb,Uncommon,Cooking,Frostbriar,"Frostbriar herb ingredient: favored by local scouts, often a alchemy base.",ingredient_mossy_berry.png
31061,Ash-dusted Syrup,Consumable,Bandage,Rare,None,Hollowroot,"Hollowroot bandage consumable: rings softly when shaken, often a salt-proofing aid.",consumable_ash_dusted_syrup.png
31062,Lanternlit Tally,Curio,Charm,Common,None,Greatwood,"Greatwood charm curio: kept for superstition, often a buff ingredient.",curio_lanternlit_tally.png
31063,Cedar-scented Stamen,Ingredient,Insect,Rare,Blacksmithing,Hollowroot,"Hollowroot insect ingredient: used in field repairs, often a ritual prop.",ingredient_cedar_scented_stamen.png
31064,Iron-banded Stew,Consumable,Food,Uncommon,Woodworking,Frostbriar,"Frostbriar food consumable: carried for long treks, often a trap component.",consumable_iron_banded_stew.png
31065,Harbor-wet Warrant,Document,Map Fragment,Common,None,Emberford,"Emberford map fragment document: valued for its clean burn, often a salt-proofing aid.",document_harbor_wet_warrant.png
31066,Mossy Page,Document,Map Fragment,Common,None,Emberford,"Emberford map fragment document: valued for its clean burn, often a fishing bait.",document_mossy_page.png
31067,Ash-dusted Strap,Material,Wood,Common,Fishing,Saltmarrow,"Saltmarrow wood material: common among dockhands, often a vendor staple.",material_ash_dusted_strap.png
31068,Frostbit Pith,Ingredient,Insect,Common,None,Frostbriar,"Frostbriar insect ingredient: rings softly when shaken, often a crafting reagent.",ingredient_frostbit_pith.png
31069,Harbor-wet Ingot,Material,Resin,Uncommon,Cooking,Hollowroot,"Hollowroot resin material: favored by local scouts, often a buff ingredient.",material_harbor_wet_ingot.png
31070,Iron-banded Pod,Ingredient,Insect,Common,Engineering,Saltmarrow,"Saltmarrow insect ingredient: stains fingers dark, often a fishing bait.",ingredient_iron_banded_pod.png
31071,Glowcap Grit,Ingredient,Spice,Common,Enchanting,Hollowroot,"Hollowroot spice ingredient: used in field repairs, often a vendor staple.",ingredient_glowcap_grit.png
31072,Pine-sap Greaves of the Wharf,Gear,Mail,Common,Engineering,Frostbriar,"Frostbriar mail gear: recommended by old timers, often a vendor staple.",gear_pine_sap_greaves_of_the_wharf.png
31073,Kelp-woven Marker,Curio,Tooling,Uncommon,None,Glimmerdeep,"Glimmerdeep tooling curio: traded at night markets, often a ritual prop.",curio_kelp_woven_marker.png
31074,Iron-banded Badge,Curio,Sample Jar,Rare,None,Frostbriar,"Frostbriar sample jar curio: stains fingers dark, often a trap component.",curio_iron_banded_badge.png
31075,Tin-chimed Ration,Consumable,Bandage,Common,Herbalism,Greatwood,"Greatwood bandage consumable: kept for superstition, often a alchemy base.",consumable_tin_chimed_ration.png
31076,Roughspun Charm,Curio,Sample Jar,Rare,None,Saltmarrow,"Saltmarrow sample jar curio: common among dockhands, often a vendor staple.",curio_roughspun_charm.png
31077,Lanternlit Knot,Curio,Keepsake,Common,None,Hollowroot,"Hollowroot keepsake curio: valued for its clean burn, often a ritual prop.",curio_lanternlit_knot.png
31078,Soot-black Stew,Consumable,Food,Common,Fishing,Frostbriar,"Frostbriar food consumable: carried for long treks, often a trap component.",consumable_soot_black_stew.png
31079,Mire-touched Note,Document,Field Notes,Common,None,Glimmerdeep,"Glimmerdeep field notes document: smells faintly of cedar, often a alchemy base.",document_mire_touched_note.png
31080,River-smooth Cowl,Gear,Ring,Common,Fishing,Emberford,"Emberford ring gear: sought by apprentices, often a fishing bait.",gear_river_smooth_cowl.png
31081,Silt-grit Permit,Document,Letter,Common,None,Hollowroot,"Hollowroot letter document: sought by apprentices, often a buff ingredient.",document_silt_grit_permit.png
31082,Silt-grit Bow of the Mire,Gear,Mace,Common,Enchanting,Glimmerdeep,"Glimmerdeep mace gear: valued for its clean burn, often a fishing bait.",gear_silt_grit_bow_of_the_mire.png
31083,Roughspun Biscuit,Consumable,Bandage,Common,None,Greatwood,"Greatwood bandage consumable: favored by local scouts, often a trap component.",consumable_roughspun_biscuit.png
31084,Mire-touched Whistle,Curio,Tooling,Common,None,Emberford,"Emberford tooling curio: favored by local scouts, often a crafting reagent.",curio_mire_touched_whistle.png
31085,Salt-stained Bracers of Brine,Gear,Mail,Uncommon,Skinning,Saltmarrow,"Saltmarrow mail gear: a staple in cold camps, often a fishing bait.",gear_salt_stained_bracers_of_brine.png
31086,Frostbit Roster,Document,Letter,Common,None,Emberford,"Emberford letter document: a staple in cold camps, often a ritual prop.",document_frostbit_roster.png
31087,Glowcap Bill,Document,Map Fragment,Common,None,Greatwood,"Greatwood map fragment document: a staple in cold camps, often a map clue.",document_glowcap_bill.png
31088,Tin-chimed Spore,Ingredient,Meat,Common,Engineering,Greatwood,"Greatwood meat ingredient: rings softly when shaken, often a vendor staple.",ingredient_tin_chimed_spore.png
31089,Candle-smoke Permit,Document,Field Notes,Common,None,Hollowroot,"Hollowroot field notes document: kept for superstition, often a crafting reagent.",document_candle_smoke_permit.png
31090,Salt-stained Plate,Material,Bone,Common,Herbalism,Greatwood,"Greatwood bone material: carried for long treks, often a camp utility.",material_salt_stained_plate.png
31091,Roughspun Staff of Moss,Gear,Mail,Common,Woodworking,Hollowroot,"Hollowroot mail gear: stains fingers dark, often a trap component.",gear_roughspun_staff_of_moss.png
31092,Harbor-wet Sash of Frost,Gear,Cloth,Rare,None,Emberford,"Emberford cloth gear: packed for storms, often a alchemy base.",gear_harbor_wet_sash_of_frost.png
31093,Briarbound Strap,Material,Ore,Rare,Alchemy,Hollowroot,"Hollowroot ore material: used in field repairs, often a salt-proofing aid.",material_briarbound_strap.png
31094,Pine-sap Plank,Material,Resin,Common,Mining,Greatwood,"Greatwood resin material: common among dockhands, often a camp utility.",material_pine_sap_plank.png
31095,Salt-stained Charm,Curio,Sample Jar,Common,None,Greatwood,"Greatwood sample jar curio: carried for long treks, often a quest turn-in.",curio_salt_stained_charm.png
31096,Candle-smoke Tonic,Consumable,Tea,Common,Herbalism,Greatwood,"Greatwood tea consumable: carried for long treks, often a armor patching.",consumable_candle_smoke_tonic.png
31097,Faded Charm,Curio,Keepsake,Common,None,Emberford,"Emberford keepsake curio: carried for long treks, often a fishing bait.",curio_faded_charm.png
31098,Candle-smoke Thread,Material,Hide,Common,Mining,Saltmarrow,"Saltmarrow hide material: packed for storms, often a alchemy base.",material_candle_smoke_thread.png
31099,Faded Roster,Document,Ledger,Common,None,Greatwood,"Greatwood ledger document: carried for long treks, often a fishing bait.",document_faded_roster.png
31100,Glowcap Shortsword of Ember,Gear,Shield,Common,Blacksmithing,Glimmerdeep,"Glimmerdeep shield gear: kept for superstition, often a vendor staple.",gear_glowcap_shortsword_of_ember.png
31101,Windworn Dispatch,Document,Map Fragment,Common,None,Saltmarrow,"Saltmarrow map fragment document: smells faintly of cedar, often a buff ingredient.",document_windworn_dispatch.png
31102,Roughspun Stamp,Curio,Sample Jar,Common,None,Glimmerdeep,"Glimmerdeep sample jar curio: smells faintly of cedar, often a fishing bait.",curio_roughspun_stamp.png
31103,Iron-banded Coat of Moss,Gear,Axe,Uncommon,Cooking,Hollowroot,"Hollowroot axe gear: rings softly when shaken, often a vendor staple.",gear_iron_banded_coat_of_moss.png
31104,Tin-chimed Charm,Curio,Token,Common,None,Hollowroot,"Hollowroot token curio: kept for superstition, often a map clue.",curio_tin_chimed_charm.png
31105,Brine-cured Bracers of Moss,Gear,Necklace,Common,Fishing,Emberford,"Emberford necklace gear: carried for long treks, often a ritual prop.",gear_brine_cured_bracers_of_moss.png
31106,Sturdy Strap,Material,Glass,Common,Mining,Saltmarrow,"Saltmarrow glass material: recommended by old timers, often a trap component.",material_sturdy_strap.png
31107,Sturdy Elixir,Consumable,Potion,Common,Alchemy,Emberford,"Emberford potion consumable: a staple in cold camps, often a armor patching.",consumable_sturdy_elixir.png
31108,Frostbit Gland,Ingredient,Sap,Rare,Fishing,Greatwood,"Greatwood sap ingredient: favored by local scouts, often a salt-proofing aid.",ingredient_frostbit_gland.png
31109,Cedar-scented Tally,Curio,Token,Common,None,Frostbriar,"Frostbriar token curio: kept for superstition, often a map clue.",curio_cedar_scented_tally.png
31110,Ash-dusted Coat of Ember,Gear,Cloth,Common,Herbalism,Glimmerdeep,"Glimmerdeep cloth gear: favored by local scouts, often a quest turn-in.",gear_ash_dusted_coat_of_ember.png
31111,Brine-cured Nail,Material,Glass,Rare,Skinning,Hollowroot,"Hollowroot glass material: smells faintly of cedar, often a vendor staple.",material_brine_cured_nail.png
31112,Silt-grit Buckler of the Trail,Gear,Mail,Uncommon,Engineering,Emberford,"Emberford mail gear: used in field repairs, often a alchemy base.",gear_silt_grit_buckler_of_the_trail.png
